,ID
ATM,52f2ab2ebcbc57f1066b8b56
Abruzzo Restaurant,55a5a1ebe4b013909087cbb6
Acai House,5294c7523cf9994f4e043a62
Accessories Store,4bf58dd8d48988d102951735
Acehnese Restaurant,52960eda3cf9994f4e043ac9
Acupuncturist,52e81612bcbc57f1066b7a3b
Adult Boutique,5267e446e4b0ec79466e48c4
Adult Education Center,56aa371ce4b08b9a8d573570
Advertising Agency,52e81612bcbc57f1066b7a3d
Afghan Restaurant,503288ae91d4c4b30a586d67
African Restaurant,4bf58dd8d48988d1c8941735
Agriturismo,55a5a1ebe4b013909087cb7c
Airport,4bf58dd8d48988d1ed931735
Airport Food Court,4bf58dd8d48988d1ef931735
Airport Gate,4bf58dd8d48988d1f0931735
Airport Lounge,4eb1bc533b7b2c5b1d4306cb
Airport Service,56aa371be4b08b9a8d57352f
Airport Terminal,4bf58dd8d48988d1eb931735
Airport Tram,4bf58dd8d48988d1ec931735
Alsatian Restaurant,57558b36e4b065ecebd306b6
Alternative Healer,52e81612bcbc57f1066b7a3c
American Restaurant,4bf58dd8d48988d14e941735
Amphitheater,56aa371be4b08b9a8d5734db
Andhra Restaurant,54135bf5e4b08f3d2429dfe5
Anhui Restaurant,52af3a5e3cf9994f4e043bea
Animal Shelter,4e52d2d203646f7c19daa8ae
Antique Shop,4bf58dd8d48988d116951735
Aosta Restaurant,55a5a1ebe4b013909087cba7
Apple Wine Pub,56aa371ce4b08b9a8d573583
Apres Ski Bar,4bf58dd8d48988d1ea941735
Aquarium,4fceea171983d5d06c3e9823
Arcade,4bf58dd8d48988d1e1931735
Arepa Restaurant,4bf58dd8d48988d152941735
Argentinian Restaurant,4bf58dd8d48988d107941735
Art Gallery,4bf58dd8d48988d1e2931735
Art Museum,4bf58dd8d48988d18f941735
Art Studio,58daa1558bbb0b01f18ec1d6
Arts & Crafts Store,4bf58dd8d48988d127951735
Arts & Entertainment,4d4b7104d754a06370d81259
Ash and Haleem Place,58daa1558bbb0b01f18ec1bc
Asian Restaurant,4bf58dd8d48988d142941735
Assisted Living,5032891291d4c4b30a586d68
Astrologer,52f2ab2ebcbc57f1066b8b43
Athletics & Sports,4f4528bc4b90abdf24c9de85
Auditorium,4bf58dd8d48988d173941735
Australian Restaurant,4bf58dd8d48988d169941735
Austrian Restaurant,52e81612bcbc57f1066b7a01
Auto Dealership,4eb1c1623b7b52c0e1adc2ec
Auto Garage,52f2ab2ebcbc57f1066b8b44
Auto Workshop,56aa371be4b08b9a8d5734d3
Automotive Shop,4bf58dd8d48988d124951735
Auvergne Restaurant,57558b36e4b065ecebd306b8
Awadhi Restaurant,54135bf5e4b08f3d2429dff3
BBQ Joint,4bf58dd8d48988d1df931735
Baby Store,52f2ab2ebcbc57f1066b8b32
Badminton Court,52e81612bcbc57f1066b7a2b
Bagel Shop,4bf58dd8d48988d179941735
Baggage Claim,5744ccdfe4b0c0459246b4e5
Baggage Locker,5744ccdfe4b0c0459246b4e8
Baiano Restaurant,52939ae13cf9994f4e043a3b
Bakery,4bf58dd8d48988d16a941735
Balinese Restaurant,52960eda3cf9994f4e043acb
Ballroom,56aa371be4b08b9a8d5734cf
Bangladeshi Restaurant,5e179ee74ae8e90006e9a746
Bank,4bf58dd8d48988d10a951735
Bar,4bf58dd8d48988d116941735
Baseball Field,4bf58dd8d48988d1e8941735
Baseball Stadium,4bf58dd8d48988d18c941735
Basilicata Restaurant,55a5a1ebe4b013909087cba1
Basketball Court,4bf58dd8d48988d1e1941735
Basketball Stadium,4bf58dd8d48988d18b941735
Basque Restaurant,57558b36e4b065ecebd306bc
Bath House,52e81612bcbc57f1066b7a27
Bathing Area,52e81612bcbc57f1066b7a28
Batik Shop,56aa371be4b08b9a8d5734cb
Bavarian Restaurant,56aa371ce4b08b9a8d573572
Bay,56aa371be4b08b9a8d573544
Beach,4bf58dd8d48988d1e2941735
Beach Bar,52e81612bcbc57f1066b7a0d
Bed & Breakfast,4bf58dd8d48988d1f8931735
Beer Bar,56aa371ce4b08b9a8d57356c
Beer Garden,4bf58dd8d48988d117941735
Beer Store,5370f356bcbc57f1066c94c2
Beijing Restaurant,52af3a723cf9994f4e043bec
Belarusian Restaurant,52e928d0bcbc57f1066b7e97
Belgian Restaurant,52e81612bcbc57f1066b7a02
Bengali Restaurant,54135bf5e4b08f3d2429dff5
Betawinese Restaurant,52960eda3cf9994f4e043aca
Betting Shop,52f2ab2ebcbc57f1066b8b40
Big Box Store,52f2ab2ebcbc57f1066b8b42
Bike Rental / Bike Share,4e4c9077bd41f78e849722f9
Bike Shop,4bf58dd8d48988d115951735
Bike Trail,56aa371be4b08b9a8d57355e
Bistro,52e81612bcbc57f1066b79f1
Blini House,52e928d0bcbc57f1066b7e9d
Board Shop,4bf58dd8d48988d1f1941735
Boarding House,4f4530a74b9074f6e4fb0100
Boat Rental,5744ccdfe4b0c0459246b4c1
Boat or Ferry,4bf58dd8d48988d12d951735
Bookstore,4bf58dd8d48988d114951735
Border Crossing,52f2ab2ebcbc57f1066b8b4b
Borek Place,530faca9bcbc57f1066bc2f3
Bosnian Restaurant,58daa1558bbb0b01f18ec1ee
Bossam/Jokbal Restaurant,56aa371be4b08b9a8d5734e4
Botanero,58daa1558bbb0b01f18ec1d9
Botanical Garden,52e81612bcbc57f1066b7a22
Bougatsa Shop,53d6c1b0e4b02351e88a83e8
Boutique,4bf58dd8d48988d104951735
Bowling Alley,4bf58dd8d48988d1e4931735
Bowling Green,52e81612bcbc57f1066b7a2f
Boxing Gym,52f2ab2ebcbc57f1066b8b47
Brasserie,57558b36e4b065ecebd306b0
Bratwurst Joint,56aa371ce4b08b9a8d57358e
Brazilian Restaurant,4bf58dd8d48988d16b941735
Breakfast Spot,4bf58dd8d48988d143941735
Breton Restaurant,57558b36e4b065ecebd306c5
Brewery,50327c8591d4c4b30a586d5d
Bridal Shop,4bf58dd8d48988d11a951735
Bridge,4bf58dd8d48988d1df941735
Bubble Tea Shop,52e81612bcbc57f1066b7a0c
Buddhist Temple,52e81612bcbc57f1066b7a3e
Buffet,52e81612bcbc57f1066b79f4
Building,4bf58dd8d48988d130941735
Bulgarian Restaurant,56aa371be4b08b9a8d5734f3
Bunsik Restaurant,56aa371be4b08b9a8d5734f0
Burger Joint,4bf58dd8d48988d16c941735
Burgundian Restaurant,57558b36e4b065ecebd306c0
Burmese Restaurant,56aa371be4b08b9a8d573568
Burrito Place,4bf58dd8d48988d153941735
Bus Line,4bf58dd8d48988d12b951735
Bus Station,4bf58dd8d48988d1fe931735
Bus Stop,52f2ab2ebcbc57f1066b8b4f
Business Center,56aa371be4b08b9a8d573517
Business Service,5453de49498eade8af355881
Butcher,4bf58dd8d48988d11d951735
Cable Car,52f2ab2ebcbc57f1066b8b50
Cafeteria,4bf58dd8d48988d128941735
Café,4bf58dd8d48988d16d941735
Cajun / Creole Restaurant,4bf58dd8d48988d17a941735
